"full_date","speechtitle","hyperlink","name","position_cat1","type"
1996-06-13,"Bank supervision in a world economy","http://www.federalreserve.gov/boarddocs/speeches/1996/19960613.htm","Alan Greenspan","3","Public"
1996-06-18,"Developments in electronic money and banking","http://www.federalreserve.gov/boarddocs/speeches/1996/19960618.htm","Edward W. Kelley","1","Public"
1996-06-26,"Supervision of bank sales practices","http://www.federalreserve.gov/boarddocs/testimony/1996/19960626.htm","Edward W. Kelley Jr.","Governor","House"
1996-07-17,"schemes","http://www.federalreserve.gov/boarddocs/testimony/1996/19960717.htm","Herbert A. Biern","Deputy Associate Director","Senate"
1996-07-18,"The Federal Reserve's semiannual monetary report","http://www.federalreserve.gov/boarddocs/hh/1996/july/testimony.htm","Alan Greenspan","Chairman","Senate"
1996-07-24,"Trends in consumer lending","http://www.federalreserve.gov/boarddocs/testimony/1996/19960724.htm","Janet L. Yellen","Governor","Senate"
1996-07-26,"Recent reports on Federal Reserve operations","http://www.federalreserve.gov/boarddocs/testimony/1996/19960726.htm","Alan Greenspan","Chairman","Senate"
1996-09-08,"Monetary policy objectives and strategy","http://www.federalreserve.gov/boarddocs/speeches/1996/19960908.htm","Laurence H. Meyer","1","Public"
1996-09-12,"Trends in consumer lending","http://www.federalreserve.gov/boarddocs/testimony/1996/19960912.htm","Lawrence B. Lindsey","Governor","House"
1996-09-18,"Implications of trading losses by Sumitomo Corp.","http://www.federalreserve.gov/boarddocs/testimony/1996/19960918.htm","Susan M. Phillips","Governor","House"
1996-09-19,"Regulation and electronic payment systems","http://www.federalreserve.gov/boarddocs/speeches/1996/19960919.htm","Alan Greenspan","3","Public"
1996-10-02,"Small business is big business","http://www.federalreserve.gov/boarddocs/speeches/1996/19961002.htm","Lawrence B. Lindsey","1","Public"
1996-10-05,"Bank supervision, regulation, and risk","http://www.federalreserve.gov/boarddocs/speeches/1996/19961005.htm","Alan Greenspan","3","Public"
1996-10-07,"U.S. Treasury securities market: Lessons from Alexander Hamilton","http://www.federalreserve.gov/boarddocs/speeches/1996/19961007.htm","Alan Greenspan","3","Public"
1996-10-09,"Here we go again?","http://www.federalreserve.gov/boarddocs/speeches/1996/19961009.htm","Lawrence B. Lindsey","1","Public"
1996-10-11,"How to grow faster","http://www.federalreserve.gov/boarddocs/speeches/1996/19961011.htm","Lawrence B. Lindsey","1","Public"
1996-10-16,"Technological advances and productivity","http://www.federalreserve.gov/boarddocs/speeches/1996/19961016.htm","Alan Greenspan","3","Public"
1996-10-24,"Accounting and auditing standards and bank supervision","http://www.federalreserve.gov/boarddocs/speeches/1996/19961024.htm","Susan M. Phillips","1","Public"
