ForecastDate,NInflationL,NInflationH,NCInflationL,NCInflationH,NGDPL,NGDPH,NCGDPL,NCGDPH,NUnemL,NUnemH,NCUnemL,NCUnemH
1 Jul 1996,2.5,3.25,2.75,3,1.5,2.5,1.75,2.25,5.5,6,5.5,5.75
1 Jul 1997,2.5,3,2.5,3,2,3,2,2.5,4.5,5.25,4.75,5
1 Jul 1998,1.5,3,2,2.5,2,3,2,2.5,4.25,4.75,4.5,4.75
1 Jul 1999,1.5,2.75,2,2.5,2,3.5,2.5,3,4,4.5,4.25,4.5
1 Jul 2000,1.75,3,2,2.5,2.5,4,3.25,3.75,4,4.5,4,4.25
1 Jul 2001,1.5,3,1.75,2.5,3,3.5,3,3.25,4.75,5.5,4.75,5.25
1 Jul 2002,1,2.25,1.5,1.75,3.25,4.25,3.5,4,5,6,5.25,5.5
1 Jul 2003,0.75,2,1,1.5,3.5,5.25,3.75,4.75,5.5,6.25,5.5,6
1 Jul 2004,1.5,2.5,1.5,2,3.5,4,3.5,4,5,5.5,5,5.25
1 Feb 2005,1.5,2,1.5,1.75,3.25,3.75,3.5,3.5,5,5.25,5,5.25
1 Jul 2005,1.5,2.5,1.75,2,3.25,3.75,3.25,3.5,5,5,5,5
1 Feb 2006,1.75,2,1.75,2,3,4,3,3.5,4.5,5,4.75,5
1 Jul 2006,2,2.25,2,2.25,2.5,3.25,3,3.25,4.25,5.25,4.75,5
1 Feb 2007,1.5,2.25,1.75,2,2.5,3.25,2.75,3,4.5,5,4.25,4.75
1 Jul 2007,1.75,2,1.75,2,2.5,3,2.5,2.75,4.5,5,4.75,4.75
1 Feb 2008,1.7,2.2,1.7,2,1.8,3.2,2.1,2.7,5,5.5,4.9,5.7
1 Jul 2008,1.8,2.3,2,2.2,1.9,3,2,2.8,5.2,6.1,5.3,5.8
1 Feb 2009,0.4,1.7,0.8,1.5,1.5,4.5,2.5,3.3,7,9.2,8,8.3
1 Jul 2009,0.5,2,1,1.5,0.8,4,2.1,3.3,8.5,10.6,9.5,9.8
1 Feb 2010,0.9,2.4,1,1.9,2.7,4.7,3.4,4.5,7.2,8.8,8.2,8.5
1 Jul 2010,0.6,2.4,0.8,1,2.9,4.5,3.5,4.2,7.6,8.9,8.3,8.7
1 Feb 2011,0.6,2,1,1.5,3.4,4.5,3.5,4.4,7.2,8.4,7.6,8.1
1 Jul 2011,1.2,2.5,1.4,2,2.2,4,3.3,3.7,7.5,8.7,7.8,8.2
1 Feb 2012,1.4,2,1.5,2,2.4,3.8,2.8,3.2,7,8.2,7.4,8.1
1 Jul 2012,1.4,2.1,1.6,2,1.1,3.5,2.2,2.8,7,8.1,7.5,8
1 Feb 2013,1.5,2,1.6,1.9,2,3.2,2.3,3,7.7,8,7.4,7.7
